Name,Type,Forward_FLOPs,FPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
/model.10/model.10.3/cv1/act/Mul,Mul,409600,0.00%,1638400,0.06%,0,0.00%,1x512x20x20,1x512x20x20
/model.10/model.10.3/cv2/conv/Conv,Conv,3775692800,2.31%,22155264,0.76%,4719616,7.49%,1x512x20x20,1x1024x20x20
/model.10/model.10.3/cv2/act/Sigmoid,Sigmoid,26214400,0.02%,3276800,0.11%,0,0.00%,1x1024x20x20,1x1024x20x20
/model.10/model.10.3/cv2/act/Mul,Mul,819200,0.00%,3276800,0.11%,0,0.00%,1x1024x20x20,1x1024x20x20
/model.10/model.10.3/Add,Add,819200,0.00%,3276800,0.11%,0,0.00%,1x1024x20x20,1x1024x20x20
/model.11/cv1/conv/Conv,Conv,419840000,0.26%,3737600,0.13%,524800,0.83%,1x1024x20x20,1x512x20x20
/model.11/cv1/act/Sigmoid,Sigmoid,13107200,0.01%,1638400,0.06%,0,0.00%,1x512x20x20,1x512x20x20
/model.11/cv1/act/Mul,Mul,409600,0.00%,1638400,0.06%,0,0.00%,1x512x20x20,1x512x20x20
/model.11/cv2/conv/Conv,Conv,3775692800,2.31%,22155264,0.76%,4719616,7.49%,1x512x20x20,1x1024x20x20
/model.11/cv2/act/Sigmoid,Sigmoid,26214400,0.02%,3276800,0.11%,0,0.00%,1x1024x20x20,1x1024x20x20
/model.11/cv2/act/Mul,Mul,819200,0.00%,3276800,0.11%,0,0.00%,1x1024x20x20,1x1024x20x20
/model.12/cv1/conv/Conv,Conv,419840000,0.26%,3737600,0.13%,524800,0.83%,1x1024x20x20,1x512x20x20
/model.12/cv1/act/Sigmoid,Sigmoid,13107200,0.01%,1638400,0.06%,0,0.00%,1x512x20x20,1x512x20x20
/model.12/cv1/act/Mul,Mul,409600,0.00%,1638400,0.06%,0,0.00%,1x512x20x20,1x512x20x20
/model.12/m.0/MaxPool,MaxPool,10240000,0.01%,1638400,0.06%,0,0.00%,1x512x20x20,1x512x20x20
/model.12/m.1/MaxPool,MaxPool,33177600,0.02%,1638400,0.06%,0,0.00%,1x512x20x20,1x512x20x20
/model.12/m.2/MaxPool,MaxPool,69222400,0.04%,1638400,0.06%,0,0.00%,1x512x20x20,1x512x20x20
/model.12/Concat,Concat,0,0.00%,6553600,0.23%,0,0.00%,1x512x20x20,1x2048x20x20
/model.12/cv2/conv/Conv,Conv,839270400,0.51%,5834752,0.20%,1049088,1.67%,1x2048x20x20,1x512x20x20
/model.12/cv2/act/Sigmoid,Sigmoid,13107200,0.01%,1638400,0.06%,0,0.00%,1x512x20x20,1x512x20x20
/model.12/cv2/act/Mul,Mul,409600,0.00%,1638400,0.06%,0,0.00%,1x512x20x20,1x512x20x20
/model.13/conv/Conv,Conv,3775692800,2.31%,22155264,0.76%,4719616,7.49%,1x512x20x20,1x1024x20x20
/model.13/act/Sigmoid,Sigmoid,26214400,0.02%,3276800,0.11%,0,0.00%,1x1024x20x20,1x1024x20x20
/model.13/act/Mul,Mul,819200,0.00%,3276800,0.11%,0,0.00%,1x1024x20x20,1x1024x20x20
/model.14/conv/Conv,Conv,419840000,0.26%,3737600,0.13%,524800,0.83%,1x1024x20x20,1x512x20x20
/model.14/act/Sigmoid,Sigmoid,13107200,0.01%,1638400,0.06%,0,0.00%,1x512x20x20,1x512x20x20
/model.14/act/Mul,Mul,409600,0.00%,1638400,0.06%,0,0.00%,1x512x20x20,1x512x20x20
/model.15/conv/Conv,Conv,3775692800,2.31%,22155264,0.76%,4719616,7.49%,1x512x20x20,1x1024x20x20
/model.15/act/Sigmoid,Sigmoid,26214400,0.02%,3276800,0.11%,0,0.00%,1x1024x20x20,1x1024x20x20
/model.15/act/Mul,Mul,819200,0.00%,3276800,0.11%,0,0.00%,1x1024x20x20,1x1024x20x20
/model.16/conv/Conv,Conv,105062400,0.06%,1344512,0.05%,131328,0.21%,1x512x20x20,1x256x20x20
/model.16/act/Sigmoid,Sigmoid,6553600,0.00%,819200,0.03%,0,0.00%,1x256x20x20,1x256x20x20
/model.16/act/Mul,Mul,204800,0.00%,819200,0.03%,0,0.00%,1x256x20x20,1x256x20x20
/model.17/Floor,Floor,0,0.00%,0,0.00%,0,0.00%,0,0
/model.17/Floor_1,Floor,0,0.00%,0,0.00%,0,0.00%,0,0
/model.17/Unsqueeze,Unsqueeze,0,0.00%,4,0.00%,0,0.00%,0,1
/model.17/Unsqueeze_1,Unsqueeze,0,0.00%,4,0.00%,0,0.00%,0,1
/model.17/Concat,Concat,0,0.00%,8,0.00%,0,0.00%,1,2
/model.17/Shape,Shape,0,0.00%,32,0.00%,0,0.00%,1x256x20x20,4
/model.17/Slice,Slice,0,0.00%,16,0.00%,0,0.00%,4,2
/model.17/Cast,Cast,0,0.00%,16,0.00%,0,0.00%,2,2
/model.17/Concat_1,Concat,0,0.00%,32,0.00%,0,0.00%,2,4
/model.17/Resize,Resize,0,0.00%,3276800,0.11%,0,0.00%,1x256x20x20,1x256x40x40
/model.18/Concat,Concat,0,0.00%,9830400,0.34%,0,0.00%,1x256x40x40,1x768x40x40
/model.19/cv1/conv/Conv,Conv,629964800,0.39%,4064256,0.14%,196864,0.31%,1x768x40x40,1x256x40x40
